,song_id,song_name,artist,popularity,is_explicit,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
169,4hK657ZD5m35WYi30rmERG,Over Here,Mk.gee,5.0,0.0,Pronounced Mcgee,2018-05-18,0.526,0.773,4,-7.583,0,0.389,0.818,0.169,0.0758,0.888,103.207,audio_features,4hK657ZD5m35WYi30rmERG,spotify:track:4hK657ZD5m35WYi30rmERG,https://api.spotify.com/v1/tracks/4hK657ZD5m35WYi30rmERG,https://api.spotify.com/v1/audio-analysis/4hK657ZD5m35WYi30rmERG,255317,4
170,7AdBuHyc78SDvPjddieyaf,I Know How You Get,Mk.gee,10.0,1.0,Pronounced Mcgee,2018-05-18,0.758,0.721,0,-5.172,1,0.0409,0.469,0.585,0.293,0.864,121.991,audio_features,7AdBuHyc78SDvPjddieyaf,spotify:track:7AdBuHyc78SDvPjddieyaf,https://api.spotify.com/v1/tracks/7AdBuHyc78SDvPjddieyaf,https://api.spotify.com/v1/audio-analysis/7AdBuHyc78SDvPjddieyaf,290261,4
171,6I0m89XMkPX46MMaNmkWNK,Untitled,Mk.gee,51.0,1.0,Untitled,2019-12-06,0.713,0.505,8,-9.504,1,0.0365,0.217,0.113,0.1,0.583,101.983,audio_features,6I0m89XMkPX46MMaNmkWNK,spotify:track:6I0m89XMkPX46MMaNmkWNK,https://api.spotify.com/v1/tracks/6I0m89XMkPX46MMaNmkWNK,https://api.spotify.com/v1/audio-analysis/6I0m89XMkPX46MMaNmkWNK,219457,4
172,3Gda1sTo2ZjbztjjsnAsP3,Slip Away,Perfume Genius,0.0,0.0,No Shape,2017-05-05,0.603,0.509,1,-6.824,1,0.0312,0.371,2.66e-05,0.0627,0.572,136.592,audio_features,3Gda1sTo2ZjbztjjsnAsP3,spotify:track:3Gda1sTo2ZjbztjjsnAsP3,https://api.spotify.com/v1/tracks/3Gda1sTo2ZjbztjjsnAsP3,https://api.spotify.com/v1/audio-analysis/3Gda1sTo2ZjbztjjsnAsP3,165330,4
173,3FDrI0FLKzrYQiWxPhqV2W,Rollin (feat. Future & Khalid),Calvin Harris,66.0,1.0,Rollin (feat. Future & Khalid),2017-05-12,0.754,0.762,6,-4.486,0,0.0849,0.45,6.67e-05,0.224,0.673,92.002,audio_features,3FDrI0FLKzrYQiWxPhqV2W,spotify:track:3FDrI0FLKzrYQiWxPhqV2W,https://api.spotify.com/v1/tracks/3FDrI0FLKzrYQiWxPhqV2W,https://api.spotify.com/v1/audio-analysis/3FDrI0FLKzrYQiWxPhqV2W,272667,4
174,6XpJw6mIuTQ7tPYTvjYyVX,Sunlight,Yuno,2.0,0.0,Sunlight,2019-05-14,0.398,0.739,2,-6.763,1,0.0318,9.52e-06,0.437,0.117,0.529,76.982,audio_features,6XpJw6mIuTQ7tPYTvjYyVX,spotify:track:6XpJw6mIuTQ7tPYTvjYyVX,https://api.spotify.com/v1/tracks/6XpJw6mIuTQ7tPYTvjYyVX,https://api.spotify.com/v1/audio-analysis/6XpJw6mIuTQ7tPYTvjYyVX,212160,4
175,7CZVRcSQovpWUtG8FeDqMU,I'm Sorry We Lied,Blood Orange,41.0,0.0,Coastal Grooves,2011-08-30,0.676,0.744,2,-9.43,1,0.0404,0.000589,0.0222,0.0869,0.653,158.585,audio_features,7CZVRcSQovpWUtG8FeDqMU,spotify:track:7CZVRcSQovpWUtG8FeDqMU,https://api.spotify.com/v1/tracks/7CZVRcSQovpWUtG8FeDqMU,https://api.spotify.com/v1/audio-analysis/7CZVRcSQovpWUtG8FeDqMU,240173,4
176,6cLxofxCjrFpQYtifjK5Vf,Only in the West,Yeek,61.0,0.0,Sebastian,2017-04-28,0.954,0.537,7,-6.871,1,0.0901,0.0723,0.0569,0.218,0.525,116.964,audio_features,6cLxofxCjrFpQYtifjK5Vf,spotify:track:6cLxofxCjrFpQYtifjK5Vf,https://api.spotify.com/v1/tracks/6cLxofxCjrFpQYtifjK5Vf,https://api.spotify.com/v1/audio-analysis/6cLxofxCjrFpQYtifjK5Vf,196170,4
177,7xAE36UUNgyDJDIM4yiucY,Be Your Girl (Kaytranada Edition),Teedra Moses,0.0,0.0,Be Your Girl (Kaytranada Edition),2018-05-04,0.866,0.679,6,-6.74,0,0.388,0.214,4.8e-06,0.101,0.272,115.015,audio_features,7xAE36UUNgyDJDIM4yiucY,spotify:track:7xAE36UUNgyDJDIM4yiucY,https://api.spotify.com/v1/tracks/7xAE36UUNgyDJDIM4yiucY,https://api.spotify.com/v1/audio-analysis/7xAE36UUNgyDJDIM4yiucY,268087,4
178,2b4SSorCTQ2VzmllaeWuuT,YOU'RE THE ONE,KAYTRANADA,3.0,0.0,99.9%,2016-05-06,0.824,0.396,2,-9.663,1,0.332,0.0323,0.00289,0.108,0.252,118.053,audio_features,2b4SSorCTQ2VzmllaeWuuT,spotify:track:2b4SSorCTQ2VzmllaeWuuT,https://api.spotify.com/v1/tracks/2b4SSorCTQ2VzmllaeWuuT,https://api.spotify.com/v1/audio-analysis/2b4SSorCTQ2VzmllaeWuuT,227707,4
